"id","name","address","phone","url","latitude","longitude"
"30","http://crossfit650.com","1213 San Mateo Avenue, San Bruno, CA","(415) 298-4381","CrossFit 650","37.639563","-122.411835"
"31","http://www.sycamorecrossfit.com/","1330 East State Street, Sycamore, IL","(815) 508-4243","Sycamore CrossFit","41.983893","-88.65799"
"32","http://crossfitevviva.com/","234 West 6th Ave., Eugene, OR","(541) 912-7513","CrossFit Evviva","44.0529873","-123.096346"
"33","http://www.CrossFitGetSome365.com","4131 Smith St, Ste C, Bacliff, TX","(713) 855-7362","CrossFit Getsome365","29.504242","-94.997388"
"34","http://crossfitcolossus.com.au/","297 Cambridge Road, Mornington, Tasmania","+61400255351","CrossFit Colossus","-42.857664","147.391538"
"35","http://www.crossfit-781.com","242 Libbey Parkway, Weymouth, MA","(781) 803-2929","CrossFit 781","42.1910978","-70.940384"
"36","http://www.crossfit416.ca","390 Queens Quay W. Unit 114, Toronto, ON","(416) 901-0416","CrossFit 416","43.6379297","-79.3910464"
"38","http://","5 N. Naches Ave., Yakima, WA","(509) 972-5276","Yakima YMCA CrossFit","46.604225","-120.499651"
"39","http://www.crossfitgiant.com/","115 River Rd, Pier 112, Edgewater, NJ","(201) 228-9966","CrossFit Giant","40.8270448","-73.975694"
"40","http://crossfitnorthburlington.ca/","3523 B Walkers Line, Burlington, ON","(289) 208-5348","CrossFit North Burlington","43.4053538","-79.8417618"
"41","http://www.crossfit-mainz.de/","Oppenheimer Strasse 44, Nieder Olm, n.a.","+49 177 797 2025","CrossFit Mainz","49.9045488","8.2012766"
"43","http://www.crossfitwestdublin.com/","Unit 6C, Celbridge, Co. Dublin","(086) 021-7333","CrossFit West Dublin","53.3420058","-6.5185095"
"44","http://","7908 88th Ave, Edmonton, AB","(780) 893-7424","CrossFit Corpo Forte","53.5236542","-113.449469"
"45","http://","Las Brisas Building Lot #8 Federico Costas St # 54, San Juan, ","(789) 598-9494","CrossFit Reebok Iron Heart","18.4180126","-66.0671709"
"46","http://bvmcrossfit.com/","6711 Burnet Lane, Austin, TX","(512) 779-2099","BVM CrossFit","30.342838","-97.736696"
"47","http://www.crossfit2-0.com/","844 W. San Marcos Blvd, Ste 103, San Marcos, CA","(760) 525-8040","CrossFit 2.0","33.136437","-117.183327"
"48","http://","Unit 3, Fishguard Road, Haverfordwest, England","01834869932","CrossFit Dynamic","52.3555177","-1.1743197"
"49","http://www.crossfitseo.com","762 W. Union St. Ste A, Athens, OH","(740) 591-0735","CrossFit SEO","39.3220079","-82.1348809"
"50","http://www.crossfittriton.com","801 North Main St Ext, Wallingford, CT","(203) 631-5367","CrossFit Triton","41.4755619","-72.809859"
"51","http://www.crossfitexperience.net/","8725 Youngerman Ct. Suite 110, Jacksonville, FL","(904) 874-4924","CrossFit Experience","30.195511","-81.749435"
"52","http://www.crossfittechnique.com/","4/21 Raws Crescent, Hume, ACT","(042) 992-7982","CrossFit Technique","-35.392401","149.170019"
"54","http://www.crossfitzachary.com/","5041 Highway 19, Unit C, Zachary, LA","(626) 255-4523","CrossFit Zachary","30.6525218","-91.1497247"
"55","http://F5 CrossFit","8117 Bourbon Street, Oklahoma City, OK","(405) 202-5333","F5 CrossFit","35.461736","-97.657039"
"56","http://www.crossfitpampa.com/","200 N Hobart, Pampa, TX","(806) 662-1264","CrossFit Pampa","35.5319744","-100.9718065"
"57","http://www.bechallengedcrossfit.com/","4795 Us Hwy 96 N Unit 2, Silsbee, TX","(409) 656-4243","Be Challenged CrossFit","30.3570693","-94.1258441"
"58","http://www.crossfit919.com","2500 Meridian Parkway, Suite 125, Durham, NC","(919) 656-4503","CrossFit 919","35.911441","-78.89395"
"59","http://www.helotescrossfit.com/","12266 Bandera Road Suite 301 & 303, Helotes, TX","(210) 618-1997","Helotes CrossFit","29.559078","-98.6721869"
"60","http://","Virusmäentie, Turku, Varsinais-Suomi","+358405749628","Reebok CrossFit Turku","60.4663689","22.2793196"
"61","http://www.crossfitnotomorrow.com/","78 Fuller St, Collaroy Plateau, NSW","61299721094","CrossFit No Tomorrow","-33.726845","151.28759"
"64","http://www.crossfitgem.com/","1/51 Topham Road, Smeaton Grange, NSW","+61404868889","CrossFit Gem","-34.0353018","150.7541218"
"66","http://www.crossfitfaction.co.uk/","Harrison Street Unit 5a, Golden Triable Industrial Estate, Widnes, Halton","07923391312","CrossFit Faction","53.355017","-2.7677041"
"68","http://chrysaliscrossfit.com/","46 Georges-Forest Place, Winnipeg, MB","(204) 233-1000","Chrysalis CrossFit","49.8855764","-97.107525"
"71","http://","Cerrada de Oaxaca 15 Colonia Jardines del Pedregal, CP, Mexico DF","+525551354734","CrossFit BETA","19.3205752","-99.2092897"
"72","http://www.reebokcrossfit020.nl/","Hoogoorddreef 3, Amsterdam, Amsterdam","(020) 609-0410","CrossFit Reebok 020","52.3102476","4.9471634"
"75","http://crossfit14.com/","27233 State Road 56, Wesley Chapel, FL","(860) 798-0038","CrossFit 14","28.1865582","-82.3656624"
"76","http://www.rockjunglefitness.com/Rock_Jungle_CrossFit/","10247 - 184 Street, Edmonton, AB","(780) 454-7625","Rock Jungle CrossFit","53.54515894405964","-113.6390184963505"
"77","http://www.crossfit904.com","11366 Trade Court, Suite 4, Jacksonville, FL","(904) 866-0558","CrossFit 904","30.163994","-81.531813"
"78","http://www.crossfitblur.com","8175 E Raintree Dr Suite 2, Scottsdale, AZ","(715) 495-0086","CrossFit Blur","33.618702","-111.904578"
"79","http://www.crossfitanaerobicinc.com/cfanaerobic-laguna-niguel/","27612 El Lazo, Laguna Niguel, CA","(949) 709-4900","CrossFit Anaerobic 2","33.5630498","-117.7096498"
"80","http://crossfitmurray.blogspot.com/","311 A Solar Dr, Murray, KY","(270) 761-3809","CrossFit Murray","36.6225734","-88.2995006"
"81","http://physicscrossfit.com/","7-3809 St-Joseph Blvd., Ottawa, ON","(819) 205-2665","Physics CrossFit","45.460539","-75.5563605"
"82","http://","Lords, 3 Price Street, Subiaco, Perth, WA","(041) 598-4921","Range of Motion CrossFit","-31.9463443","115.8154245"
"83","http://crossfitoceanbeach.com/","1811 Sunset Cliffs Blvd., San Diego, CA","(503) 568-6741","CrossFit Ocean Beach","32.743149","-117.248635"
"84","http://cfvisalia.com/","602 E Acequia Ave, Visalia, CA","(559) 623-4427","CrossFit Visalia","36.3292848","-119.2865914"
"85","http://crossfitfenrir.com/","845 Creative Drive, Lakeland, FL","(863) 398-3527","CrossFit Fenrir","27.9631099","-81.970197"
"86","http://www.crossfit-fuse.com/","17625 NE 65th St, #140, Redmond, WA","(425) 861-4996","CrossFit Fuse","47.663733","-122.104787"
"88","http://crossfitlugo.blogspot.com/","Via Puccini n°1, Lugo (Ra), Italy","(335) 668-4815","CrossFit Lugo","44.4253238","11.9027978"
"89","http://www.crossfithinesville.com/","1875 EG Miles Parkway, Hinesville, GA","(912) 385-3837","CrossFit Hinesville","31.846877","-81.5959453"
"91","http://paceperformance.net/","66 Montauk Highway, Amityville, NY","(631) 521-9158","CrossFit Pace Performance","40.6714794","-73.4200672"
"92","http://CrossFitcredence.com","1340 22nd St. NW, Rochester, MN","(507) 261-7696","CrossFit Credence","44.045747","-92.482715"
"93","http://crossfit7220.com/","411 S. 20th Street, Laramie, WY","(307) 760-3132","CrossFit 7220","41.3087017","-105.5688778"
"94","http://www.ftxcrossfit.com/","1N030 Gary Ave., Carol Stream, IL","(630) 981-4964","FTX CrossFit","41.8885568","-88.1227058"
"96","http://www.crossfitemergence.com/","1200 Shakespeare St, Missoula, MT","(406) 531-1712","CrossFit Emergence","46.883258","-114.008423"
"97","http://cometcrossfit.com/","7836 Oberlin Rd, Elyria, OH","(440) 865-0108","Comet CrossFit","41.381583","-82.19152"
"98","http://www.crossfitorion.ca","1999 Nobel #3, Sainte-Julie, QC","(514) 266-6191","CrossFit Minotaure","45.578047","-73.3266833"
"99","http://crossfitdga.com/","709 Firetower Rd, Dublin, GA","(478) 290-8885","CrossFit DGA","32.4870211","-82.9216688"
"100","http://www.cbfit.ca","80 Regina Rd, Vaughan, ON","(905) 856-9348","Crossbones CrossFit","43.7724672","-79.6115926"
"101","http://www.dekacrossfit.com/","779 Boulevard Industriel, Blainville, QC","(450) 806-3352","Deka CrossFit","45.6724643","-73.8627723"
"102","http://crossfitintersect.com/","1860 Obispo Avenue, Unit 1, Signal Hill, CA","(714) 553-3336","CrossFit Intersect","33.7910369","-118.1544551"
"103","http://www.crossfitcarbondale.com/","1215 E. Walnut St., Carbondale, IL","(618) 529-5511","CrossFit Carbondale","37.7268901","-89.1937527"
"104","http://www.crossfitannandale.com/","7861-B Heritage Drive, Annandale, VA","(803) 414-9538","CrossFit Annandale","38.8256839","-77.2130768"
"105","http://crossfitparsippany.com/","323 New Rd, Suite 6, Parsippany, NJ","(201) 424-8773","CrossFit Parsippany","40.8553823","-74.3486651"
"106","http://www.crossfitwestgate.com.au/","1/60 Ablemarle Street, Williamstown North, VIC","(041) 555-1445","CrossFit Westgate","-37.850179","144.859368"
"110","http://www.crossfitkindred.com/","1460 Tully Rd, Ste 608, San Jose, CA","(408) 293-2051","CrossFit Kindred","37.3162807","-121.8324378"
"111","http://","384 Oyster Point Blvd, Suite 6, South San Francisco, CA","(650) 676-9782","CrossFit South San Francisco","37.665761","-122.3839988"
"112","http://www.crossfitks.com","19720 Elizabeth Way, Canyon Country, CA","(661) 373-7430","CrossFit Kalos Sthenos","34.4123765","-118.4811261"
"113","http://southdadecrossfit.com/","10890 SW 188 Street, Suite 92, Miami, FL","(786) 486-2333","South Dade CrossFit","25.5931951","-80.3675021"
"114","http://www.crossfit616.com/","1940 Turner Avenue NW, Grand Rapids, MI","(616) 780-8595","CrossFit 616","42.9987365","-85.6785115"
"115","http://","Rentemestervej 56, Copenhagen NV, N/A","+45 61 27 24 81","CrossFit Nordvest","55.7069917","12.5275096"
"116","http://www.crossfitmaitland.com.au/","219 High Street, Maitland, NSW","(042) 944-3204","CrossFit Maitland","-32.739576","151.562023"
"117","http://","2804 Forest Hills Rd, Wilson, NC","(252) 230-7823","CrossFit Wilson","35.709039","-77.952487"
"118","http://www.crossfitjerusalem.com/","Teddy Stadium, Jerusalem, Israel","(011-972) 54-5250576","CrossFit Jerusalem","31.7736","35.224998"
"119","http://www.crossfitchatswood.com/","5/108 Warrane Rd, Sydney, NSW","(042) 105-6635","CrossFit Chatswood","-33.7897703","151.2026127"
"121","http://www.crossfit417.com/","5108 N 22nd Street, Ozark, MO","(417) 380-3195","CrossFit 417","37.0630857","-93.2325531"
"122","http://www.gardenscrossfit.com/","4098 PGA Blvd, Palm Beach Gardens, FL","(561) 630-3118","Gardens CrossFit","26.8423556","-80.0988478"
"123","http://www.crossfitlbc.com/","212 Bristol Pike, Bristol, PA","(610) 849-6448","CrossFit LBC","40.1088704","-74.856768"
"124","http://www.boomfitnesspdx.com/crossfit/","18039 SW Lower Boones Ferry Rd, Portland, OR","(503) 995-4905","CrossFit Explosion","45.3920024","-122.750775"
"125","http://www.cannoncrossfit.com/","5907 Star Lane, Houston, TX","(309) 275-3036","Cannon CrossFit","29.727121","-95.482552"
"126","http://www.crossfittrain.com/","1750 SW 3rd Street, Suite M, Corvallis, OR","(541) 224-3194","CrossFit Train","44.548076","-123.266424"
"127","http://www.searcycrossfit.com","921 Hastings Drive, Searcy, AR","(417) 234-4151","Searcy CrossFit","35.2384227","-91.7205496"
"128","http://www.crossfit-sa1.blogspot.com/","Unit 3, SA1 Business Park Langdon Road, Swansea, Wales","07595520601","CrossFit SA1","51.6204703","-3.9277001"
"129","http://www.crossfitkingsandqueens.com","2007 Manufacturing Dr, Clinton, IA","(815) 540-0835","Kings & Queens CrossFit","41.8278364","-90.2332211"
"130","http://www.crossfitklamath.com/","1311 Elm Ave, #B, Klamath Falls, OR","(541) 331-4357","CrossFit Klamath","42.222753","-121.776332"
"131","http://www.crossfitnorthpasadena.com/","3636 E. Colorado Blvd., Pasadena, CA","(626) 617-6037","CrossFit North Pasadena","34.145888","-118.075251"
"134","http://crossfit-drive.com/","23 Beta Court, Suite A, San Ramon, CA","(925) 743-0222","CrossFit Drive","37.7810258","-121.980989"
"135","http://www.crossfitharford.com","1659-D Robin Circle, Forest Hill, MD","(301) 717-5517","CrossFit Harford","39.5694745","-76.3610796"
"136","http://www.crossfitnapoli.com/","Via Francesco Paolo Tosti 16, Napoli, Italy","+393381940776","CrossFit Napoli","40.8440149","14.2200944"
"137","http://www.crossfitmilesmilitis.com/","104 North Lloyd Street, Crestview, FL","(850) 499-4654","CrossFit Miles Militis","30.7546159","-86.5764394"
"138","http://","313 Center Street, Meadow Lake, SK","(306) 240-7816","Pure Energy CrossFit","54.1313991","-108.4309155"
"139","http://www.crossfit2232.com","1201 Main Street, Bryson City, NC","(828) 736-3620","CrossFit 2232","35.432424","-83.4300807"
"140","http://www.hardbatcrossfit.com/","70 Aleph Drive, Suite B, Newark, DE","(484) 256-0465","Hardbat CrossFit","39.6446479","-75.7290359"
"142","http://www.rocketcrossfit.com/","5720 Rainier Ave. S, Seattle, WA","(206) 853-9181","Rocket CrossFit","47.5506003","-122.277349"
"143","http://www.ridgecrossfit.com","1b 266 Bolton Street, Melbourne, VIC","+61 0412237344","CrossFit Diamond Valley","-37.720435","145.138108"
"144","http://www.crossfitconway.com/","1195 South Harkrider Street, Conway, AR","(501) 514-1375","CrossFit Conway","35.0591748","-92.4250462"
"145","http://www.crossfit225.com/","17839 Airline Hwy Suite D, Prairieville, LA","(225) 772-6564","CrossFit 225","30.336815","-90.9897079"
"146","http://www.athleteegocrossfit.com/","1400 NE 125 Street Unit B, North Miami, FL","(786) 419-8880","AthleteEGO CrossFit","25.889951","-80.170491"
"148","http://www.crossfitevoke.com/","6925 Farmdale Ave, North Hollywood, CA","(818) 764-1392","CrossFit Evoke","34.1971452","-118.3812266"
"149","http://www.rdasgym.co.uk/","Unit 9 Weavers Court, Forest Mill, Selkirk, Selkirkshire","00447903239768","RDAS CrossFit","55.5485","-2.844822"
"150","http://www.missiontrainingsystems.co.uk/cavementraining.php","29A Beaverhall Road, Edinburgh, Scotland","0131 557 0520","CrossFit MTS","55.9648942","-3.1920453"
"151","http://crossfitblainville.ca/","14153 Curé-Labelle, app 2, Mirabel, QC","(514) 267-5308","CrossFit Blainville","45.7090036","-73.9348736"
"152","http://getfitcrossfit.com/","Lot 19990, Ground Floor, Taman Alam Jalan Telanai, Beribi Gadong, Brunei Darussalam","+6738870996","GETFIT CrossFit","4.878573956986203","114.89295154809952"
"155","http://www.lusineterrebonne.ca/","3551 boulevard des entreprises, Terrebonne, QC","(514) 723-2336","CrossFit Terrebonne L'usine","45.7300329","-73.6770729"
"160","http://www.rebelsgym.sk/","Tomašikova 54, Presov, Slovakia","00421 948 017 098","CrossFit Presov","49.0167938","21.2286724"
"161","http://www.crossfit716.net/716/","84 Sweeney Street, North Tonawanda, NY","(716) 553-6003","CrossFit 716","43.022457","-78.876831"
"162","http://www.crossfitsudbury.com/","1351-E Kelly Lake Rd. Unit 7, Sudbury, ON","(705) 521-4790","CrossFit Sudbury","46.4649097","-81.0298837"
"164","http://www.crossfitnovem.com","1222-24 Shackamaxon Street, Philadelphia, PA","(215) 510-1284","CrossFit Novem","39.9695907","-75.1345424"
"165","http://www.crossfitalmere.nl/","Hopperzuigerstraat 53, Almere, Flevoland","+31614377930","Reebok CrossFit Almere","52.4017333","5.2657158"
"166","http://www.crossfitaftermath.com/index.php/","11 John St., North Aurora, IL","(630) 618-7331","CrossFit Aftermath","41.804699","-88.325494"
"167","http://xscrossfit.com/","6522 E Ponderosa Drive, Parker, CO","(303) 910-0833","XS CrossFit","39.539896","-104.766009"
"168","http://crossfit3000.com/","82-86 Clark Street, South Melbourne, VIC","+61401015711","CrossFit 3000 South Melbourne","-37.83007","144.960374"
"169","http://www.crossfittriggerpoint.com","5321 Industrial Oaks Parkway, Suite 110A, Austin, TX","(512) 300-2804","CrossFit Trigger Point","30.2387529","-97.8399421"
"170","http://www.animuscrossfit.com/","17401 NW 2nd Ave, #8, Miami Gardens, FL","(414) 467-6839","Animus CrossFit","25.9341751","-80.2046854"
"171","http://www.titancrossfit.com/","100 Cockeysville Road, Suite 150, Cockeysville, MD","(410) 382-5522","Titan CrossFit","39.4818605","-76.6455532"
"172","http://crossfituno.mx/","Paseo de la Asunción 317 Norte, Nave #3, Colonia Bellavista, Estado de Mexico","52 (722) 4378679","CrossFit UNO","19.255429689332978","-99.57309487883145"
"173","http://eternitycrossfit.com/index.php","32242 Paseo Adelanto, Suite E, San Juan Capistrano, CA","(949) 291-7314","Eternity CrossFit","33.493746","-117.664529"
"174","http://fitnessforperformanceandlife.blogspot.com/","80 Red Schoolhouse Road, Unit 110, Chestnut Ridge, NY","(845) 825-2230","CrossFit South Rockland","41.079109","-74.053487"
"175","http://www.true-athletics.com/","850 Sherman Avenue, Hamden, CT","(203) 448-7745","CrossFit True","41.4003891","-72.9149529"
"176","http://www.tracktowncrossfit.com/","771 Williamette Street, Eugene, OR","(541) 514-9980","Track Town CrossFit","44.051336","-123.092395"
"177","http://fuerzacrossfit.com/","Carrera 43 # 31-73, Medellin, Antioquia","01157-3218512317","Fuerza CrossFit","6.2321355","-75.5689422"
"178","http://crossfit6330.com.au/","70 Lion St, Albany, WA","(089) 842-2762","CrossFit 6330","-35.0053368","117.8721942"
"179","http://","San Jeronimo 240; Col. Loreto y campamento; Del. Alvaro Obregon, Mexico City, Mexico","01 55 53 39 56 74","Reebok CrossFit Loreto","19.3356079","-99.1977376"
"180","http://www.crossfitindustrious.com","21619 Hwy 99 , Ste H, Lynnwoon, WA","(206) 755-6290","CrossFit Industrious","47.8028229","-122.328442"
"181","http://www.c4crossfit.com/","20527 FM 1093, #C6, Richmond, TX","(713) 254-6866","C4 CrossFit","29.7023651","-95.7402713"
"182","http://www.crossfitathleticacademy.com/","1600 N. Ocean Ave, Suite 16, Holtsville, NY","(631) 334-7893","CrossFit Athletic Academy","40.811423","-73.020539"
"183","http://www.crossfitlewisburg.com","437 10th Street, Lewisburg, PA","(570) 412-1412","CrossFit Lewisburg","40.965323","-76.894243"
"184","http://strength-power-speed.blogspot.com/","20 Wattle Road, Brookvale, NSW","+61414983101","CrossFit Brookvale","-33.7680406","151.2770258"
"185","http://","608 E. Front St., Arlington, TX","(817) 408-6219","CrossFit North Arlington","32.737466","-97.101283"
"186","http://www.CrossFitAlfa.com","Av. Fuente de Tritones 16 Lomas de San Isidro, Naucalpan, EDO","0115215559674113","CrossFit Alfa","19.4305306","-99.2269614"
"187","http://www.CrossFitoffremont.com","37330 Cedar Blvd., Suites I & J, Newark, CA","(480) 734-7904","CrossFit of Fremont","37.541289","-122.020449"
"189","http://www.crossfitsouthokanagan.com","#104-9503 Cedar Ave, Summerland, BC","(250) 718-6344","CrossFit South Okanagan","49.5872591","-119.6780462"
"190","http://www.crossfitmontgomery.com/","41 East Railroad Street, Montgomery, AL","(877) 907-4141","CrossFit Montgomery","32.3857897","-86.3098049"
"191","http://www.newlondoncrossfit.com","436 Broad Street, Unit B, New London, CT","(203) 927-0025","New London CrossFit","41.362702","-72.115105"
"193","http://www.sugarcreekfitness.com/Sugarcreek_Fitness/Crossfit.html","110 Andreas Dr, Sugarcreek, OH","(330) 852-2456","CrossFit Sugarcreek","40.501117","-81.634806"
"194","http://www.letronocrossfit.com/","976 N. Marshall Way, Layton, UT","(801) 294-6777","Letrono CrossFit","41.0740734","-111.9965726"
"195","http://www.avaloncrossfit.com","545 Medford Street, Charlestown, MA","(925) 997-8440","Avalon CrossFit","42.383961","-71.070779"
"196","http://www.crossfittakeover.com/","585 South Birdneck Rd. Ste 107, Virginia Beach, VA","(310) 972-0995","CrossFit Takeover","36.8209869","-75.9999901"
"197","http://www.CrossFitHub.com","3 Irving Rd, Irving Industrial Building #01-01, Singapore, Singapore","(659) 739-7809","CrossFit Hub","1.3349922","103.902074"
"198","http://ww.NHBCrossFit.com","414 W Grand Parkway South, Suite 197, Katy, TX","(281) 838-4034","NHB CrossFit","29.7753185","-95.7789141"
"199","http://www.DistrictCrossFit.com","1525 Half St. SW, Washington, DC","(202) 507-8255","District CrossFit","38.871227","-77.011071"
"200","http://www.highaltitudecrossfit.com","336 Spring Creek Circle, Unit 1, Gypsum, CO","(970) 343-9040","High Altitude CrossFit","39.6343617","-106.9160943"
"201","http://www.crossfitavon.com/","Unit 15, Merton Road, Bristol, Bristol","07970 493643","CrossFit Avon","51.4826464","-2.5869296"
"202","http://www.BeCrossFit.com","2201 SE Indian st. Unit A-4, Stuart, FL","(772) 285-5709","Be CrossFit","27.1664204","-80.2260183"
"203","http://www.crossfitoceanview.com","9309 Granby Street, Norfolk, VA","(757) 375-9291","CrossFit Norfolk","36.9460374","-76.2593695"
"204","http://crossfitliverpool.blogspot.com/","Unit 18-19 Love Lane, Liverpool, England","07407154901","CrossFit Liverpool","53.4170279","-2.9946518"
"205","http://CrossFitSteeleCreek.com","9301 Forsyth Park Drive, Suite C, Charlotte, NC","(704) 714-7775","CrossFit Steele Creek","35.135965","-80.953308"
"206","http://www.crossfitmov.com/","416 37th St, Parkersburg, WV","(304) 488-6468","Mountain River CrossFit","39.2971547","-81.5485652"
"207","http://Hybridathletics.net","7 Hyde Street, Stamford, CT","(203) 913-5228","CrossFit Hybrid Athletics","41.0939909","-73.5174562"
"209","http://www.crossfitrevival.com","461 River Ave, Eugene, OR","(541) 510-7643","CrossFit Revival","44.0965967","-123.1181744"
"210","http://www.celticcrossfit.co.uk","17 Leeway Court Leeway Industrial Estate, Newport, Wales","07866 721175","Celtic CrossFit","51.5725025","-2.946479"
"211","http://www.tctotalcrossfit.com/","10781 E Cherry Bend Rd, Traverse City, MI","(231) 409-7960","TC Total CrossFit","44.7934644","-85.6409636"
"212","http://www.crossfitsonora.com","14951 Camage Rd., Sonora, CA","(209) 352-5575","CrossFit Sonora","38.0661321","-120.2683582"
"213","http://www.tamcrossfit.com","555 E. Francisco Blvd, Suite 19, San Rafael, CA","(415) 948-8453","Tamalpais CrossFit","37.96584","-122.5150934"
"214","http://livetrainplay.com/","1111 Rancho Conejo Blvd. #106, Newbury Park, CA","(818) 281-5433","Live Train Play CrossFit","34.19401","-118.923719"
"217","http://www.fitnessculture.co.uk","unit 11, Ben Nevis Estate, fort william, Scotland","0447979645798","CrossFit Ben Nevis","56.8250619","-5.0851811"
"219","http://www.crossfitkennesaw.com","1349 Old 41 Hwy., Marietta, GA","(404) 931-8773","CrossFit Kennesaw","33.978553","-84.5639939"
"220","http://www.crossfitvitality.com","7285 Westwinds Blvd NW, Concord, NC","(704) 721-5555","CrossFit Vitality","35.387229","-80.7225268"
"221","http://www.lcvalleycrossfit.com","2981 Thain Grade, Lewiston, ID","(208) 798-8888","CrossFit LC Valley","46.393655","-116.989966"
"222","http://www.crossfitforward.com/","5933 Plank Road, Suite J, Fredericksburg, VA","(540) 226-9560","CrossFit Forward","38.293334","-77.579249"
"223","http://crossfitalive.com.au/","4/149 Old Pacific Hwy, Oxenford, QLD","(043) 123-3222","CrossFit Alive","-27.8880373","153.3138889"
"224","http://www.tribalcrossfit.com","6170 West Chandler Blvd, Suite 4, Chandler, AZ","(602) 492-7348","Tribal CrossFit","33.3060571","-111.9484225"
"225","http://www.CrossFitParadise.com","393 Lehuakona St, Kahului, HI","(808) 633-1765","CrossFit Maui","20.882697","-156.451738"
"226","http://www.crossfitinnovate.com","1049 Martin Luther King Jr. Blvd., Northport, AL","(205) 333-4000","CrossFit Innovate","33.2296057","-87.5688849"
"227","http://www.crossfitsurge.com","10621 Irma Dr, Unit C, Denver, CO","(303) 907-3682","CrossFit Surge","39.890542","-104.9645831"
"228","http://www.crossfitgigharbor.com/","6521 43rd Ave NW, Suite ""A"", Gig Harbor, WA","(253) 858-5432","CrossFit Gig Harbor","47.3157671","-122.5951434"
"230","http://www.crossfitshoalhaven.com","1/33 Tom thumb Ave Sth, Nowra, NSW","(024) 424-2624","CrossFit Shoalhaven","-34.911998","150.585651"
